0.048	2.95E-04	-2.79E-02	0	6.31E-02	-3.52E-02	-2.95E-04	2.57E-02	2.89E-03	0	5.78E-03	0.00E+00	0.00E+00	0.00E+00	2.95E-04	-2.79E-02	0	6.31E-02	-3.52E-02	-2.95E-04	2.31E-02	-2.89E-03	0	5.78E-03	0.00E+00	0.00E+00	0.00E+00	0.000544839	0.000154654	-0.000364268
0.05	3.19E-04	-3.01E-02	0	6.80E-02	-3.79E-02	-3.19E-04	2.78E-02	3.12E-03	0	6.24E-03	0.00E+00	0.00E+00	0.00E+00	3.19E-04	-3.01E-02	0	6.80E-02	-3.79E-02	-3.19E-04	2.50E-02	-3.12E-03	0	6.24E-03	0.00E+00	0.00E+00	0.00E+00	0.000588682	0.000167098	-0.000393589
0.052	3.44E-04	-3.23E-02	0	7.30E-02	-4.07E-02	-3.44E-04	2.99E-02	3.36E-03	0	6.72E-03	0.00E+00	0.00E+00	0.00E+00	3.44E-04	-3.23E-02	0	7.30E-02	-4.07E-02	-3.44E-04	2.69E-02	-3.36E-03	0	6.72E-03	0.00E+00	0.00E+00	0.00E+00	0.000634026	0.000179978	-0.000423906
0.054	3.69E-04	-3.46E-02	0	7.82E-02	-4.36E-02	-3.69E-04	3.21E-02	3.61E-03	0	7.22E-03	0.00E+00	0.00E+00	0.00E+00	3.69E-04	-3.46E-02	0	7.82E-02	-4.36E-02	-3.69E-04	2.89E-02	-3.61E-03	0	7.22E-03	0.00E+00	0.00E+00	0.00E+00	0.000680888	0.000193278	-0.000455234
0.056	3.95E-04	-3.69E-02	0	8.35E-02	-4.66E-02	-3.95E-04	3.44E-02	3.87E-03	0	7.73E-03	0.00E+00	0.00E+00	0.00E+00	3.95E-04	-3.69E-02	0	8.35E-02	-4.66E-02	-3.95E-04	3.09E-02	-3.87E-03	0	7.73E-03	0.00E+00	0.00E+00	0.00E+00	0.000729233	0.000206996	-0.000487558
0.058	4.22E-04	-3.94E-02	0	8.90E-02	-4.96E-02	-4.22E-04	3.68E-02	4.13E-03	0	8.26E-03	0.00E+00	0.00E+00	0.00E+00	4.22E-04	-3.94E-02	0	8.90E-02	-4.96E-02	-4.22E-04	3.30E-02	-4.13E-03	0	8.26E-03	0.00E+00	0.00E+00	0.00E+00	0.000779098	0.000221151	-0.000520894
0.06	4.50E-04	-4.18E-02	0	9.45E-02	-5.27E-02	-4.50E-04	3.92E-02	4.40E-03	0	8.80E-03	0.00E+00	0.00E+00	0.00E+00	4.50E-04	-4.18E-02	0	9.45E-02	-5.27E-02	-4.50E-04	3.52E-02	-4.40E-03	0	8.80E-03	0.00E+00	0.00E+00	0.00E+00	0.000830445	0.000235742	-0.000555224
0.062	4.79E-04	-4.43E-02	0	1.00E-01	-5.59E-02	-4.79E-04	4.17E-02	4.68E-03	0	9.36E-03	0.00E+00	0.00E+00	0.00E+00	4.79E-04	-4.43E-02	0	1.00E-01	-5.59E-02	-4.79E-04	3.75E-02	-4.68E-03	0	9.36E-03	0.00E+00	0.00E+00	0.00E+00	0.000883311	0.000250734	-0.000590567
0.064	5.08E-04	-4.69E-02	0	1.06E-01	-5.92E-02	-5.08E-04	4.42E-02	4.97E-03	0	9.94E-03	0.00E+00	0.00E+00	0.00E+00	5.08E-04	-4.69E-02	0	1.06E-01	-5.92E-02	-5.08E-04	3.98E-02	-4.97E-03	0	9.94E-03	0.00E+00	0.00E+00	0.00E+00	0.000937678	0.00026618	-0.000626922
0.066	5.38E-04	-4.96E-02	0	1.12E-01	-6.25E-02	-5.38E-04	4.69E-02	5.27E-03	0	1.05E-02	0.00E+00	0.00E+00	0.00E+00	5.38E-04	-4.96E-02	0	1.12E-01	-6.25E-02	-5.38E-04	4.21E-02	-5.27E-03	0	1.05E-02	0.00E+00	0.00E+00	0.00E+00	0.000993546	0.000282028	-0.000664272
