0.050000  0.000030 -0.036385 0.000000 0.079572 -0.043187 -0.000030 0.175000 -0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000030 -0.036385 0.000000 0.079572 -0.043187 -0.000030 0.175000 0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000051 0.000014 -0.000034 
0.052000  0.000032 -0.036417 0.000000 0.079659 -0.043243 -0.000032 0.175000 -0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000032 -0.036417 0.000000 0.079659 -0.043243 -0.000032 0.175000 0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000055 0.000015 -0.000036 
0.054000  0.000035 -0.036449 0.000000 0.079750 -0.043301 -0.000035 0.175000 -0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000035 -0.036449 0.000000 0.079750 -0.043301 -0.000035 0.175000 0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000059 0.000016 -0.000039 
0.056000  0.000037 -0.036483 0.000000 0.079845 -0.043361 -0.000037 0.175000 -0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000037 -0.036483 0.000000 0.079845 -0.043361 -0.000037 0.175000 0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000064 0.000017 -0.000042 
0.058000  0.000040 -0.036518 0.000000 0.079942 -0.043424 -0.000040 0.175000 -0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000040 -0.036518 0.000000 0.079942 -0.043424 -0.000040 0.175000 0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000068 0.000019 -0.000045 
0.060000  0.000043 -0.036555 0.000000 0.080043 -0.043489 -0.000043 0.175000 -0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000043 -0.036555 0.000000 0.080043 -0.043489 -0.000043 0.175000 0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000073 0.000020 -0.000048 
0.062000  0.000046 -0.036592 0.000000 0.080148 -0.043556 -0.000046 0.175000 -0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000046 -0.036592 0.000000 0.080148 -0.043556 -0.000046 0.175000 0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000078 0.000021 -0.000052 
0.064000  0.000049 -0.036631 0.000000 0.080256 -0.043625 -0.000049 0.175000 -0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000049 -0.036631 0.000000 0.080256 -0.043625 -0.000049 0.175000 0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000083 0.000023 -0.000055 
0.066000  0.000052 -0.036671 0.000000 0.080367 -0.043696 -0.000052 0.175000 -0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000052 -0.036671 0.000000 0.080367 -0.043696 -0.000052 0.175000 0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000088 0.000024 -0.000058 
0.068000  0.000055 -0.036712 0.000000 0.080482 -0.043769 -0.000055 0.175000 -0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000055 -0.036712 0.000000 0.080482 -0.043769 -0.000055 0.175000 0.003490 0.000000 -1.570000 0.000000 0.000000 0.000000 0.000094 0.000026 -0.000062 
